Time (s),Fluorescence Intensity (a.u.),Frequency (KHz)
70.50575757026672,2.631190843621399,2832500
70.7288761138916,2.6312847222222224,2832600
70.95450592041016,2.6284561471193415,2832700
71.17329430580139,2.6285918209876544,2832800
71.39548349380493,2.630308641975309,2832900
71.6187105178833,2.6276382458847736,2833000
71.84148931503296,2.6287172067901237,2833100
72.06175565719604,2.629758230452675,2833200
72.28835654258728,2.628059413580247,2833300
72.51187801361084,2.6293338477366257,2833400
72.73294234275818,2.630198688271605,2833500
72.96586275100708,2.628890174897119,2833600
73.17647576332092,2.6292689043209876,2833700
73.40421271324158,2.629767232510288,2833800
73.62062954902649,2.6288078703703706,2833900
73.83945512771606,2.631215920781893,2834000
74.06166076660156,2.628477366255144,2834100
74.2853262424469,2.6294701646090535,2834200
74.50634622573853,2.6294791666666666,2834300
74.7286605834961,2.6300887345679014,2834400
74.95054340362549,2.630321502057613,2834500
75.18994569778442,2.628860596707819,2834600
75.39466834068298,2.6296264146090533,2834700
75.61896920204163,2.6276896862139916,2834800
75.83911776542664,2.630800540123457,2834900
76.06156349182129,2.628193158436214,2835000
76.28346300125122,2.627573945473251,2835100
76.50589418411255,2.6279661779835393,2835200
76.72810006141663,2.6300462962962965,2835300
76.95084309577942,2.629070859053498,2835400
77.17215394973755,2.62987204218107,2835500
77.3944365978241,2.626770190329218,2835600
77.62354516983032,2.6296965020576133,2835700
77.83833503723145,2.6290316358024692,2835800
78.06111073493958,2.6286342592592593,2835900
78.28385353088379,2.630917566872428,2836000
78.50449728965759,2.629675925925926,2836100
78.7277934551239,2.629675925925926,2836200
78.95003271102905,2.628814943415638,2836300
79.18817234039307,2.6294277263374486,2836400
79.39336729049683,2.628528163580247,2836500
79.61647915840149,2.629537037037037,2836600
79.83930468559265,2.630574202674897,2836700
80.06075382232666,2.629312628600823,2836800
80.28225064277649,2.6318942901234568,2836900
80.5056312084198,2.6303382201646093,2837000
80.72769594192505,2.628638760288066,2837100
80.95030999183655,2.6303433641975307,2837200
81.17158842086792,2.6290425668724278,2837300
81.3941798210144,2.6296823559670783,2837400
81.61590814590454,2.629273405349794,2837500
81.83774757385254,2.629567901234568,2837600
82.05976343154907,2.6307960390946503,2837700
82.28292989730835,2.6279648919753087,2837800
82.50433111190796,2.628889531893004,2837900
82.7272047996521,2.6305864197530866,2838000
82.96721506118774,2.6262590020576133,2838100
83.17152905464172,2.6277404835390947,2838200
83.39409136772156,2.631016589506173,2838300
83.61645174026489,2.6280266203703704,2838400
83.83809971809387,2.627846579218107,2838500
